RainTomorrow_predicted,Probability,RainTomorrow_Label
1.0,0.9049743608181295,Yes
0.0,0.07776913592233019,No
1.0,0.7158292384186612,Yes
0.0,0.29546921239401225,No
1.0,0.7736706236717749,Yes
0.0,0.189290693172169,No
0.0,0.09194276686990936,No
1.0,0.598297976123877,Yes
0.0,0.4842398063132426,No
1.0,0.7971484500713175,Yes
0.0,0.0838056122893851,No
0.0,0.45595088723695326,No
0.0,0.30705028315125604,No
0.0,0.4523632075406238,No
0.0,0.14020481349086156,No
1.0,0.6462689866721912,Yes
1.0,0.940003599751897,Yes
0.0,0.4315468693466053,No
1.0,0.6000515393507424,Yes
1.0,0.5689991667637079,Yes
